SaleID,SalesDate,ProductID,StoreID,CustomerId,quantity,DiscountPercent,TotalSaleAmount,TotalCostPrice
SL000098,11-Nov-25,P00023,S0004,C00158,3,5,424.65,342
SL004614,30-Dec-25,P00023,S0087,C00690,2,5,283.1,228
SL000879,15-Aug-24,P00024,S0007,C00003,2,5,359.1,264
SL001046,02-Dec-25,P00024,S0021,C00606,2,5,359.1,264
SL004138,07-Jul-20,P00024,S0011,C00936,1,25,141.75,132
SL004227,31-Oct-22,P00024,S0066,C00257,7,25,992.25,924
SL000401,21-May-25,P00024,S0096,C00337,8,15,1285.2,1056
SL004242,11-Oct-24,P00024,S0075,C00111,5,15,803.25,660
SL001347,17-Aug-25,P00024,S0051,C00937,1,10,170.1,132
SL004727,18-Oct-22,P00024,S0051,C00860,10,5,1795.5,1320
SL001229,14-Mar-26,P00025,S0084,C00038,8,5,2424.4,2088
SL001035,27-Apr-24,P00025,S0037,C00454,9,0,2871,2349
SL003470,05-Mar-26,P00025,S0003,C00915,4,5,1212.2,1044
SL004271,18-Jun-25,P00025,S0015,C00258,7,10,2009.7,1827
SL003261,02-Jul-25,P00025,S0049,C00072,2,20,510.4,522
SL002010,14-Sep-22,P00025,S0002,C00208,7,20,1786.4,1827
SL003944,27-Dec-22,P00026,S0046,C00310,7,20,148002.4,140539
SL002363,14-May-25,P00026,S0027,C00550,2,0,52858,40154
SL000432,07-Jun-25,P00026,S0062,C00803,2,5,50215.1,40154
SL003836,22-Apr-24,P00026,S0026,C00914,6,5,150645.3,120462
SL003454,23-Jul-24,P00026,S0047,C00542,6,10,142716.6,120462
SL004500,27-May-26,P00026,S0085,C00338,7,5,175752.85,140539
SL004636,16-Jan-26,P00026,S0089,C00952,6,20,126859.2,120462
SL002283,12-Sep-25,P00027,S0062,C00811,3,0,96417,71982
SL002522,15-Jun-23,P00027,S0061,C00805,10,10,289251,239940
SL003733,08-Mar-24,P00027,S0091,C00785,9,20,231400.8,215946
SL001075,20-Jun-26,P00028,S0097,C00779,5,10,61285.5,58135
SL004978,27-Jul-25,P00028,S0007,C00269,6,0,81714,69762
SL003035,26-Jun-24,P00028,S0027,C00467,7,0,95333,81389
SL002346,05-Nov-21,P00028,S0094,C00073,1,20,10895.2,11627
SL002657,31-Jan-22,P00028,S0078,C00564,8,25,81714,93016
SL004952,20-Feb-26,P00028,S0004,C00424,4,25,40857,46508
SL003003,23-May-25,P00028,S0053,C00530,8,15,92609.2,93016
SL003750,18-Jul-23,P00029,S0079,C00971,5,0,109895,92345
SL004777,10-Mar-24,P00030,S0005,C00413,6,0,136194,97788
SL002606,10-Dec-25,P00030,S0081,C00249,2,5,43128.1,32596
SL000431,29-May-26,P00030,S0069,C00096,2,10,40858.2,32596
SL002866,29-Oct-24,P00030,S0093,C00636,7,25,119169.75,114086
SL000202,23-Feb-26,P00030,S0033,C00015,9,25,153218.25,146682
SL004665,13-Feb-25,P00030,S0044,C00030,10,15,192941.5,162980
SL004788,04-Aug-25,P00030,S0039,C00201,10,15,192941.5,162980
SL004937,24-Jul-20,P00031,S0034,C00703,2,15,31873.3,29848
SL004722,28-Dec-25,P00031,S0074,C00227,4,5,71246.2,59696
SL001082,01-Jan-26,P00031,S0005,C00105,1,20,14999.2,14924
SL001829,03-Jan-23,P00031,S0084,C00838,7,25,98432.25,104468
SL003600,13-Jun-26,P00032,S0067,C00927,10,0,321090,222120
SL000617,26-Mar-24,P00032,S0036,C00322,1,10,28898.1,22212
SL001461,29-May-25,P00032,S0080,C00320,6,25,144490.5,133272
SL003432,31-Oct-25,P00032,S0038,C00486,4,25,96327,88848
SL004717,13-Jan-26,P00032,S0020,C00751,3,0,96327,66636
SL001596,10-Mar-24,P00033,S0021,C00019,1,10,14912.1,11918
SL001264,28-Mar-26,P00033,S0030,C00122,2,25,24853.5,23836
SL002659,30-Jan-26,P00033,S0067,C00404,2,15,28167.3,23836
SL002005,16-Mar-21,P00033,S0077,C00851,6,15,84501.9,71508
SL002042,25-Dec-20,P00033,S0088,C00856,9,15,126752.85,107262
SL004654,22-May-25,P00033,S0033,C00617,6,0,99414,71508
SL004275,05-Oct-25,P00033,S0082,C00688,7,10,104384.7,83426
SL000878,03-Oct-24,P00033,S0078,C00373,4,10,59648.4,47672
SL000282,19-Jun-26,P00033,S0097,C00599,4,10,59648.4,47672
SL000060,20-Dec-20,P00034,S0098,C00559,9,10,191232.9,165357
SL001299,08-Nov-25,P00034,S0080,C00325,3,5,67285.65,55119
SL003288,10-Apr-24,P00035,S0044,C00019,6,0,76194,53910
SL001926,29-Jul-22,P00035,S0071,C00936,6,10,68574.6,53910
SL001185,27-Oct-21,P00035,S0097,C00379,6,20,60955.2,53910
SL002237,26-Nov-23,P00035,S0051,C00180,7,25,66669.75,62895
SL003673,10-Mar-26,P00036,S0033,C00038,6,20,15883.2,14742
SL002469,29-Jun-25,P00036,S0085,C00385,6,0,19854,14742
SL004114,08-Feb-23,P00036,S0017,C00278,4,0,13236,9828
SL004992,13-Feb-26,P00036,S0043,C00074,5,5,15717.75,12285
SL003940,05-Sep-22,P00036,S0067,C00708,7,5,22004.85,17199
SL002116,09-Feb-24,P00036,S0064,C00920,7,5,22004.85,17199
SL001823,07-Jul-24,P00036,S0061,C00035,5,10,14890.5,12285
SL003049,20-Jun-25,P00037,S0071,C00147,5,10,46165.5,42725
SL001478,18-Jan-26,P00037,S0068,C00356,3,0,30777,25635
SL002945,29-Apr-22,P00037,S0087,C00734,9,0,92331,76905
SL003290,29-May-25,P00037,S0044,C00264,5,10,46165.5,42725
SL003947,31-May-26,P00037,S0019,C00933,1,25,7694.25,8545
SL004312,04-May-22,P00037,S0091,C00213,7,15,61041.05,59815
SL002068,14-Dec-24,P00038,S0085,C00691,10,10,178281,139410
SL004085,01-Sep-22,P00038,S0072,C00938,9,10,160452.9,125469
SL002850,14-Aug-23,P00038,S0005,C00930,2,0,39618,27882
SL003046,28-Oct-24,P00039,S0021,C00028,2,0,27118,18980
SL003692,25-Jun-26,P00039,S0086,C00155,5,25,50846.25,47450
SL000363,11-Jul-23,P00039,S0010,C00899,1,10,12203.1,9490
SL003712,21-Feb-24,P00039,S0008,C00674,10,0,135590,94900
SL000154,09-Sep-25,P00039,S0017,C00248,8,0,108472,75920
SL001778,22-Oct-20,P00040,S0066,C00781,7,0,250873,173159
SL003118,23-May-26,P00040,S0081,C00025,10,0,358390,247370
SL003874,24-Apr-23,P00040,S0064,C00524,1,5,34047.05,24737
SL003700,27-Oct-23,P00040,S0052,C00233,7,20,200698.4,173159
SL003865,04-Mar-23,P00041,S0082,C00628,9,10,103590.9,94698
SL002864,12-Oct-25,P00041,S0045,C00688,2,5,24299.1,21044
SL003266,31-Mar-26,P00041,S0060,C00954,7,5,85046.85,73654
SL000965,12-Oct-20,P00041,S0013,C00384,10,10,115101,105220
SL001701,19-Aug-22,P00042,S0087,C00261,2,0,6478,4886
SL003919,10-Feb-26,P00042,S0069,C00873,4,10,11660.4,9772
SL004155,29-Nov-24,P00042,S0094,C00493,10,10,29151,24430
SL002036,09-Aug-23,P00042,S0023,C00110,10,20,25912,24430
SL002265,18-May-24,P00042,S0064,C00755,6,25,14575.5,14658
SL000143,13-Jun-25,P00042,S0023,C00651,2,15,5506.3,4886
SL001747,12-Jul-25,P00043,S0054,C00756,5,5,22890.25,17125
SL001782,12-Apr-23,P00043,S0004,C00407,2,5,9156.1,6850
SL000552,29-Jun-21,P00043,S0004,C00383,9,10,39033.9,30825
SL004270,08-Apr-24,P00043,S0018,C00654,4,10,17348.4,13700
SL004067,01-Jun-25,P00043,S0034,C00142,1,25,3614.25,3425
SL004511,26-Nov-25,P00043,S0065,C00873,3,25,10842.75,10275
SL001891,03-Jun-24,P00044,S0007,C00329,3,0,20337,14184
SL000007,23-Apr-23,P00044,S0035,C00324,9,0,61011,42552
SL003639,17-Feb-26,P00044,S0074,C00560,2,0,13558,9456
SL002972,26-Oct-21,P00044,S0017,C00111,10,10,61011,47280
SL003364,06-May-26,P00044,S0017,C00030,9,25,45758.25,42552
SL002055,06-Apr-26,P00044,S0090,C00506,10,25,50842.5,47280
SL002745,29-May-26,P00044,S0001,C00911,1,15,5762.15,4728
SL002444,03-Nov-24,P00045,S0083,C00052,6,25,12640.5,12612
SL002359,04-Jul-25,P00045,S0083,C00224,6,0,16854,12612
SL002816,04-Jan-25,P00045,S0019,C00136,7,10,17696.7,14714
SL003679,16-Aug-25,P00046,S0017,C00456,5,10,139720.5,113725
SL001706,01-Jan-26,P00046,S0060,C00397,6,25,139720.5,136470
SL001607,28-Mar-23,P00046,S0088,C00637,2,15,52783.3,45490
SL004377,16-Sep-23,P00047,S0003,C00946,5,15,130258.25,114045
SL001354,09-Apr-24,P00047,S0060,C00786,8,25,183894,182472
SL000882,31-Dec-25,P00047,S0068,C00914,6,0,183894,136854
SL002645,17-Jan-25,P00047,S0030,C00720,2,0,61298,45618
SL001755,22-Dec-24,P00047,S0082,C00179,5,0,153245,114045
SL001329,28-Apr-25,P00047,S0038,C00753,7,5,203815.85,159663
SL004485,25-Dec-22,P00047,S0053,C00084,2,25,45973.5,45618
SL000794,21-Mar-25,P00048,S0038,C00028,4,5,80328.2,63268
SL002948,27-Dec-25,P00048,S0062,C00293,5,20,84556,79085
SL003006,03-Feb-25,P00048,S0097,C00276,5,25,79271.25,79085
SL001900,09-May-25,P00048,S0070,C00985,7,25,110979.75,110719
SL002154,02-Jun-26,P00049,S0066,C00487,3,0,30417,23352
SL000956,11-Oct-25,P00049,S0019,C00528,6,5,57792.3,46704
SL001923,31-Oct-24,P00049,S0088,C00052,3,5,28896.15,23352
SL000959,09-Jun-26,P00049,S0082,C00153,6,20,48667.2,46704
SL002117,24-May-23,P00050,S0040,C00993,2,25,23923.5,25816
SL002201,26-Mar-22,P00050,S0045,C00029,1,0,15949,12908
SL003200,09-May-26,P00050,S0094,C00487,5,5,75757.75,64540
SL004988,28-Dec-24,P00050,S0064,C00670,1,10,14354.1,12908
SL001864,17-May-25,P00050,S0035,C00159,9,15,122009.85,116172
SL001817,23-Aug-22,P00051,S0042,C00083,1,0,549,414
SL003973,10-Apr-24,P00051,S0057,C00718,10,0,5490,4140
SL003626,25-Nov-24,P00051,S0058,C00006,4,15,1866.6,1656
SL002340,07-Jan-20,P00052,S0060,C00634,9,0,1791,1251
SL003318,12-Mar-22,P00052,S0033,C00604,3,20,477.6,417
SL003492,06-Feb-26,P00052,S0100,C00928,8,25,1194,1112
SL002959,20-Dec-25,P00052,S0039,C00915,1,5,189.05,139
SL004775,05-Aug-25,P00052,S0001,C00998,1,0,199,139
SL003525,09-Aug-20,P00052,S0100,C00654,6,0,1194,834
SL001552,08-Dec-25,P00053,S0068,C00910,1,0,259,187
SL004493,02-Mar-21,P00053,S0053,C00832,6,0,1554,1122
SL000593,08-Dec-24,P00053,S0027,C00480,6,0,1554,1122
SL003763,17-Jul-25,P00053,S0016,C00687,7,5,1722.35,1309
SL002188,03-Mar-23,P00053,S0056,C00881,1,25,194.25,187
SL003397,31-Mar-26,P00053,S0031,C00788,3,25,582.75,561
SL000697,11-Nov-22,P00053,S0067,C00829,2,25,388.5,374
SL000621,22-Jun-26,P00053,S0005,C00096,8,15,1761.2,1496
SL003955,23-Nov-23,P00054,S0086,C00655,3,25,672.75,624
SL004460,02-Feb-26,P00055,S0004,C00523,3,0,777,663
SL004492,04-Feb-25,P00055,S0030,C00146,4,0,1036,884
SL000629,01-Oct-25,P00055,S0034,C00998,4,5,984.2,884
SL004108,04-May-25,P00055,S0031,C00774,8,10,1864.8,1768
SL002654,26-Oct-24,P00055,S0094,C00865,6,25,1165.5,1326
SL000987,09-Apr-25,P00056,S0081,C00536,6,20,1963.2,1836
SL000370,14-Jan-22,P00056,S0051,C00100,5,0,2045,1530
SL002817,07-Nov-23,P00056,S0059,C00461,6,5,2331.3,1836
SL003609,18-Mar-26,P00056,S0052,C00962,2,5,777.1,612
SL000076,02-Sep-23,P00056,S0028,C00537,4,5,1554.2,1224
SL002840,08-May-24,P00056,S0081,C00959,8,10,2944.8,2448
SL004640,04-Dec-23,P00056,S0072,C00665,7,25,2147.25,2142
SL003536,13-Jun-25,P00057,S0016,C00446,1,10,557.1,433
SL001359,08-Jun-25,P00057,S0013,C00626,5,20,2476,2165
SL000851,28-Dec-24,P00057,S0075,C00450,10,10,5571,4330
SL002656,28-Nov-22,P00058,S0064,C00613,4,0,796,620
SL001670,03-Jun-23,P00058,S0036,C00166,3,20,477.6,465
SL000743,16-Oct-25,P00059,S0082,C00716,10,0,1490,1000
SL004929,23-Mar-26,P00059,S0066,C00268,10,0,1490,1000
SL003985,17-Dec-25,P00059,S0027,C00030,6,5,849.3,600
SL000055,03-Dec-24,P00059,S0090,C00163,7,5,990.85,700
SL000266,13-Mar-26,P00059,S0023,C00937,4,25,447,400
SL002762,27-May-25,P00060,S0018,C00924,1,10,467.1,366
SL004099,23-May-26,P00060,S0013,C00502,5,0,2595,1830
SL002079,16-Feb-23,P00060,S0088,C00450,9,5,4437.45,3294
SL004907,16-Aug-25,P00060,S0022,C00136,10,5,4930.5,3660
SL002106,07-Mar-22,P00060,S0071,C00849,6,10,2802.6,2196
SL000341,16-May-24,P00060,S0041,C00036,8,20,3321.6,2928
SL003950,18-Mar-26,P00060,S0040,C00505,8,25,3114,2928
SL000180,25-Jan-22,P00061,S0093,C00083,1,0,239,163
SL003988,05-Jun-25,P00061,S0069,C00101,7,0,1673,1141
SL000638,05-Mar-24,P00061,S0039,C00865,4,0,956,652
SL002278,20-Jun-26,P00061,S0061,C00869,1,20,191.2,163
SL002782,11-Apr-26,P00061,S0071,C00359,7,15,1422.05,1141
SL002112,19-Apr-25,P00062,S0005,C00503,7,0,2443,1750
SL003495,29-Jun-26,P00062,S0065,C00669,8,0,2792,2000
SL004551,06-Nov-24,P00062,S0091,C00824,1,5,331.55,250
SL001233,09-Nov-20,P00062,S0099,C00938,10,10,3141,2500
SL001346,03-Jun-26,P00062,S0029,C00153,2,20,558.4,500
SL004194,25-Oct-23,P00063,S0060,C00314,8,20,3321.6,3512
SL003658,12-Jun-26,P00063,S0033,C00053,7,0,3633,3073
SL004154,01-Sep-25,P00063,S0073,C00984,8,0,4152,3512
SL000079,03-Jun-23,P00063,S0033,C00645,3,25,1167.75,1317
SL003156,21-Jul-23,P00064,S0071,C00216,9,15,3052.35,2835
SL001994,11-Jan-21,P00064,S0074,C00239,2,0,798,630
SL004324,19-Sep-22,P00064,S0021,C00605,2,5,758.1,630
SL001037,25-Feb-26,P00064,S0025,C00676,1,25,299.25,315
SL002533,20-Aug-21,P00064,S0077,C00451,1,25,299.25,315
SL004051,23-Jun-24,P00064,S0022,C00705,10,25,2992.5,3150
SL003849,29-Jun-25,P00064,S0079,C00284,2,0,798,630
SL004183,29-Jan-23,P00065,S0009,C00889,1,0,229,178
SL001121,18-Nov-22,P00065,S0036,C00360,10,0,2290,1780
SL003442,01-Aug-24,P00065,S0099,C00429,9,5,1957.95,1602
SL004429,08-Sep-23,P00066,S0003,C00091,4,10,1940.4,1632
SL002111,26-Mar-25,P00066,S0090,C00173,2,20,862.4,816
SL002375,10-Sep-25,P00066,S0070,C00873,1,25,404.25,408
SL002016,10-Aug-24,P00067,S0097,C00339,4,0,1036,852
SL004343,23-Nov-25,P00067,S0097,C00505,6,0,1554,1278
SL003221,11-Jul-24,P00067,S0064,C00460,9,10,2097.9,1917
SL002597,12-Mar-23,P00068,S0085,C00031,10,15,3221.5,3020
SL000970,09-Oct-23,P00068,S0085,C00801,8,5,2880.4,2416
SL003168,19-Mar-25,P00068,S0093,C00284,5,10,1705.5,1510
SL001880,16-Feb-23,P00068,S0088,C00437,4,20,1212.8,1208
SL001118,24-Jan-26,P00068,S0077,C00481,8,25,2274,2416
SL004917,18-Jun-24,P00068,S0085,C00781,7,25,1989.75,2114
SL004797,27-Nov-24,P00068,S0080,C00024,4,0,1516,1208
SL003317,18-Mar-26,P00069,S0009,C00820,10,0,1790,1390
SL000420,18-Dec-22,P00069,S0005,C00361,5,0,895,695
SL002766,12-Nov-25,P00069,S0008,C00008,3,20,429.6,417
SL003657,04-Aug-25,P00069,S0084,C00816,2,25,268.5,278
SL001920,19-Apr-25,P00069,S0021,C00471,4,15,608.6,556
SL000527,10-Nov-24,P00070,S0034,C00585,9,10,2826.9,2727
SL003595,04-May-25,P00070,S0072,C00539,4,25,1047,1212
SL004403,21-Aug-24,P00070,S0010,C00786,9,25,2355.75,2727
SL001213,10-Mar-23,P00071,S0066,C00978,1,5,569.05,420
SL003590,23-Mar-23,P00071,S0061,C00580,7,0,4193,2940
SL001608,21-Nov-25,P00072,S0091,C00741,6,0,1974,1428
SL000459,26-Nov-23,P00072,S0076,C00180,9,0,2961,2142
SL004061,17-Feb-22,P00072,S0045,C00893,2,5,625.1,476
SL000029,15-Nov-22,P00072,S0065,C00432,5,10,1480.5,1190
SL003808,01-Oct-25,P00072,S0083,C00160,10,20,2632,2380
SL000399,05-Feb-26,P00072,S0049,C00964,4,25,987,952
SL003771,17-Sep-22,P00073,S0031,C00266,3,10,483.3,435
SL002262,05-May-23,P00073,S0029,C00731,6,0,1074,870
SL004437,11-Feb-26,P00073,S0059,C00423,9,5,1530.45,1305
SL004455,11-Sep-25,P00073,S0029,C00927,8,5,1360.4,1160
SL000623,20-Oct-21,P00073,S0030,C00704,4,5,680.2,580
SL001643,03-Aug-23,P00073,S0047,C00131,4,5,680.2,580
SL000057,04-Feb-24,P00073,S0072,C00283,4,20,572.8,580
SL004748,26-Feb-25,P00074,S0077,C00620,5,5,1420.25,1170
SL004273,12-Mar-26,P00074,S0073,C00788,3,0,897,702
SL002183,06-Feb-24,P00074,S0059,C00431,6,0,1794,1404
SL000208,27-May-25,P00074,S0011,C00090,4,0,1196,936
SL002667,05-Jul-22,P00074,S0072,C00639,10,0,2990,2340
SL002975,22-Jun-26,P00074,S0090,C00487,3,0,897,702
SL002514,07-Mar-26,P00074,S0010,C00836,2,5,568.1,468
SL001332,31-Dec-25,P00074,S0060,C00700,1,5,284.05,234
SL004838,07-Mar-26,P00074,S0086,C00727,7,5,1988.35,1638
SL004448,16-Jan-26,P00074,S0098,C00926,9,10,2421.9,2106
SL004967,25-Apr-26,P00074,S0080,C00262,10,10,2691,2340
SL004582,03-Jun-26,P00075,S0032,C00427,7,10,2639.7,2100
SL000791,29-Jun-26,P00075,S0016,C00235,7,0,2933,2100
SL004578,06-Nov-23,P00075,S0077,C00620,4,0,1676,1200
SL004747,30-Apr-24,P00075,S0011,C00919,10,0,4190,3000
SL000960,23-Apr-20,P00075,S0037,C00891,2,5,796.1,600
SL003208,22-Aug-23,P00075,S0100,C00581,4,5,1592.2,1200
SL001838,11-Dec-23,P00075,S0082,C00436,10,10,3771,3000
SL004022,02-Jun-23,P00076,S0058,C00795,1,20,1191.2,1154
SL001538,23-Jan-21,P00076,S0100,C00335,6,5,8487.3,6924
SL000081,12-Jul-25,P00076,S0022,C00406,10,5,14145.5,11540
SL000404,25-Nov-25,P00076,S0009,C00071,10,0,14890,11540
SL002050,01-May-25,P00076,S0046,C00316,9,10,12060.9,10386
SL004356,21-Aug-25,P00076,S0065,C00772,2,10,2680.2,2308
SL001227,02-Oct-24,P00076,S0054,C00363,2,5,2829.1,2308
SL001651,16-Mar-23,P00077,S0096,C00682,4,5,8052.2,7028
SL003696,01-Oct-24,P00077,S0033,C00697,6,10,11442.6,10542
SL001110,17-Jan-26,P00077,S0030,C00889,6,20,10171.2,10542
SL000660,31-Oct-25,P00077,S0028,C00276,7,25,11124.75,12299
SL001594,13-Nov-25,P00077,S0026,C00730,2,25,3178.5,3514
SL000931,09-Dec-22,P00078,S0072,C00364,9,0,18621,13914
SL000041,07-Nov-25,P00078,S0075,C00826,1,0,2069,1546
SL002463,26-May-24,P00078,S0083,C00196,2,0,4138,3092
SL000779,12-May-23,P00078,S0055,C00566,2,20,3310.4,3092
SL002603,09-Oct-24,P00078,S0096,C00985,10,15,17586.5,15460
