InventoryID,Date,ProductID,StoreID,OpeningStock,PurchaseQty,SalesQty,ClosingStock
INV00067,19-12-2025,P00013,S0048,59,27,8,78
INV00068,09-01-2026,P00013,S0052,77,18,7,88
INV00069,19-05-2025,P00013,S0055,78,32,6,104
INV00070,16-05-2022,P00013,S0057,34,40,7,67
INV00071,01-06-2020,P00013,S0092,80,30,4,106
INV00072,30-05-2026,P00014,S0003,146,39,5,180
INV00073,29-06-2026,P00014,S0095,78,27,6,99
INV00074,26-06-2023,P00015,S0051,32,23,6,49
INV00075,01-06-2025,P00015,S0095,134,17,2,149
INV00076,25-02-2025,P00015,S0099,50,27,7,70
INV00077,16-10-2023,P00016,S0014,118,27,8,137
INV00078,21-04-2025,P00016,S0028,121,20,1,140
INV00079,24-09-2021,P00016,S0056,41,3,2,42
INV00080,15-12-2023,P00016,S0082,55,27,1,81
INV00081,16-06-2026,P00016,S0083,58,1,1,58
INV00082,17-01-2021,P00016,S0089,45,34,2,77
INV00083,06-04-2026,P00016,S0091,42,17,8,51
INV00084,21-06-2022,P00017,S0006,114,3,1,116
INV00085,17-05-2026,P00017,S0006,116,40,4,152
INV00086,26-11-2021,P00017,S0032,39,26,2,63
INV00087,03-09-2025,P00017,S0034,89,1,8,82
INV00088,27-03-2026,P00017,S0047,157,28,8,177
INV00089,25-03-2020,P00017,S0078,50,2,10,42
INV00090,29-09-2023,P00017,S0096,116,27,5,138
INV00091,02-04-2026,P00018,S0008,29,26,6,49
INV00092,11-03-2026,P00018,S0024,153,14,5,162
INV00093,22-07-2023,P00018,S0066,96,9,10,95
INV00094,18-07-2023,P00018,S0083,61,36,7,90
INV00095,16-01-2026,P00018,S0096,98,34,5,127
INV00096,26-08-2025,P00019,S0002,149,17,1,165
INV00097,28-06-2026,P00019,S0003,38,25,2,61
INV00098,17-05-2026,P00019,S0058,151,35,10,176
INV00099,05-10-2022,P00019,S0086,30,20,5,45
INV00100,26-02-2026,P00020,S0039,52,33,1,84
INV00101,05-10-2023,P00020,S0090,48,38,1,85
INV00102,22-08-2024,P00021,S0001,33,40,3,70
INV00103,18-07-2025,P00021,S0014,106,4,9,101
INV00104,10-09-2025,P00021,S0068,83,11,4,90
INV00105,20-09-2020,P00021,S0076,50,30,7,73
INV00106,11-08-2025,P00021,S0083,138,16,4,150
INV00107,29-05-2023,P00022,S0013,28,5,1,32
INV00108,31-10-2024,P00022,S0015,121,4,4,121
INV00109,24-04-2024,P00022,S0019,60,31,4,87
INV00110,09-09-2025,P00022,S0028,129,2,8,123
INV00111,08-08-2021,P00022,S0033,110,26,5,131
INV00112,12-09-2025,P00022,S0058,57,4,8,53
INV00113,11-11-2025,P00023,S0004,38,4,3,39
INV00114,30-12-2025,P00023,S0087,48,30,2,76
INV00115,15-08-2024,P00024,S0007,99,18,2,115
INV00116,07-07-2020,P00024,S0011,75,39,1,113
INV00117,02-12-2025,P00024,S0021,123,1,2,122
INV00118,18-10-2022,P00024,S0051,77,9,10,76
INV00119,17-08-2025,P00024,S0051,76,21,1,96
INV00120,31-10-2022,P00024,S0066,150,22,7,165
INV00121,11-10-2024,P00024,S0075,147,1,5,143
INV00122,21-05-2025,P00024,S0096,61,16,8,69
INV00123,14-09-2022,P00025,S0002,147,37,7,177
INV00124,05-03-2026,P00025,S0003,109,6,4,111
INV00125,18-06-2025,P00025,S0015,39,36,7,68
INV00126,27-04-2024,P00025,S0037,112,29,9,132
INV00127,02-07-2025,P00025,S0049,98,17,2,113
INV00128,14-03-2026,P00025,S0084,95,30,8,117
INV00129,22-04-2024,P00026,S0026,51,22,6,67
INV00130,14-05-2025,P00026,S0027,81,7,2,86
INV00131,27-12-2022,P00026,S0046,51,8,7,52
INV00132,23-07-2024,P00026,S0047,109,0,6,103
INV00133,07-06-2025,P00026,S0062,136,24,2,158
INV00134,27-05-2026,P00026,S0085,70,40,7,103
INV00135,16-01-2026,P00026,S0089,130,6,6,130
INV00136,15-06-2023,P00027,S0061,95,5,10,90
INV00137,12-09-2025,P00027,S0062,81,1,3,79
INV00138,08-03-2024,P00027,S0091,43,23,9,57
INV00139,20-02-2026,P00028,S0004,24,26,4,46
INV00140,27-07-2025,P00028,S0007,146,3,6,143
INV00141,26-06-2024,P00028,S0027,111,13,7,117
INV00142,23-05-2025,P00028,S0053,89,15,8,96
INV00143,31-01-2022,P00028,S0078,79,23,8,94
INV00144,05-11-2021,P00028,S0094,142,35,1,176
INV00145,20-06-2026,P00028,S0097,109,32,5,136
INV00146,18-07-2023,P00029,S0079,42,35,5,72
INV00147,10-03-2024,P00030,S0005,30,22,6,46
INV00148,23-02-2026,P00030,S0033,129,32,9,152
INV00149,04-08-2025,P00030,S0039,93,0,10,83
INV00150,13-02-2025,P00030,S0044,109,19,10,118
INV00151,29-05-2026,P00030,S0069,98,0,2,96
INV00152,10-12-2025,P00030,S0081,124,17,2,139
INV00153,29-10-2024,P00030,S0093,49,39,7,81
INV00154,01-01-2026,P00031,S0005,57,18,1,74
INV00155,24-07-2020,P00031,S0034,110,18,2,126
INV00156,28-12-2025,P00031,S0074,105,9,4,110
INV00157,03-01-2023,P00031,S0084,46,18,7,57
INV00158,13-01-2026,P00032,S0020,28,6,3,31
INV00159,26-03-2024,P00032,S0036,135,33,1,167
INV00160,31-10-2025,P00032,S0038,58,24,4,78
INV00161,13-06-2026,P00032,S0067,108,8,10,106
INV00162,29-05-2025,P00032,S0080,116,28,6,138
INV00163,10-03-2024,P00033,S0021,96,14,1,109
INV00164,28-03-2026,P00033,S0030,129,40,2,167
INV00165,22-05-2025,P00033,S0033,124,33,6,151
INV00166,30-01-2026,P00033,S0067,89,17,2,104
INV00167,16-03-2021,P00033,S0077,146,27,6,167
INV00168,03-10-2024,P00033,S0078,33,16,4,45
INV00169,05-10-2025,P00033,S0082,130,7,7,130
INV00170,25-12-2020,P00033,S0088,105,16,9,112
INV00171,19-06-2026,P00033,S0097,48,37,4,81
INV00172,08-11-2025,P00034,S0080,107,33,3,137
INV00173,20-12-2020,P00034,S0098,84,22,9,97
INV00174,10-04-2024,P00035,S0044,68,18,6,80
INV00175,26-11-2023,P00035,S0051,103,21,7,117
INV00176,29-07-2022,P00035,S0071,86,12,6,92
INV00177,27-10-2021,P00035,S0097,105,22,6,121
INV00178,08-02-2023,P00036,S0017,41,35,4,72
INV00179,10-03-2026,P00036,S0033,45,13,6,52
INV00180,13-02-2026,P00036,S0043,130,8,5,133
INV00181,07-07-2024,P00036,S0061,89,31,5,115
INV00182,09-02-2024,P00036,S0064,96,20,7,109
INV00183,05-09-2022,P00036,S0067,134,29,7,156
INV00184,29-06-2025,P00036,S0085,117,27,6,138
INV00185,31-05-2026,P00037,S0019,122,38,1,159
INV00186,29-05-2025,P00037,S0044,99,24,5,118
INV00187,18-01-2026,P00037,S0068,103,4,3,104
INV00188,20-06-2025,P00037,S0071,80,26,5,101
INV00189,29-04-2022,P00037,S0087,141,2,9,134
INV00190,04-05-2022,P00037,S0091,143,18,7,154
INV00191,14-08-2023,P00038,S0005,137,30,2,165
INV00192,01-09-2022,P00038,S0072,41,39,9,71
INV00193,14-12-2024,P00038,S0085,89,7,10,86
INV00194,21-02-2024,P00039,S0008,124,12,10,126
INV00195,11-07-2023,P00039,S0010,46,39,1,84
INV00196,09-09-2025,P00039,S0017,47,10,8,49
INV00197,28-10-2024,P00039,S0021,87,13,2,98
INV00198,25-06-2026,P00039,S0086,109,33,5,137
INV00199,27-10-2023,P00040,S0052,60,36,7,89
INV00200,24-04-2023,P00040,S0064,87,13,1,99
INV00201,22-10-2020,P00040,S0066,129,22,7,144
INV00202,23-05-2026,P00040,S0081,109,6,10,105
INV00203,12-10-2020,P00041,S0013,102,37,10,129
INV00204,12-10-2025,P00041,S0045,67,15,2,80
INV00205,31-03-2026,P00041,S0060,112,20,7,125
INV00206,04-03-2023,P00041,S0082,110,15,9,116
INV00207,09-08-2023,P00042,S0023,114,10,10,114
INV00208,13-06-2025,P00042,S0023,114,15,2,127
INV00209,18-05-2024,P00042,S0064,134,35,6,163
INV00210,10-02-2026,P00042,S0069,27,12,4,35
INV00211,19-08-2022,P00042,S0087,110,40,2,148
INV00212,29-11-2024,P00042,S0094,76,40,10,106
INV00213,29-06-2021,P00043,S0004,134,17,9,142
INV00214,12-04-2023,P00043,S0004,142,24,2,164
INV00215,08-04-2024,P00043,S0018,109,17,4,122
INV00216,01-06-2025,P00043,S0034,69,25,1,93
INV00217,12-07-2025,P00043,S0054,103,10,5,108
INV00218,26-11-2025,P00043,S0065,152,6,3,155
INV00219,29-05-2026,P00044,S0001,115,21,1,135
INV00220,03-06-2024,P00044,S0007,112,31,3,140
INV00221,26-10-2021,P00044,S0017,38,11,10,39
INV00222,06-05-2026,P00044,S0017,39,18,9,48
INV00223,23-04-2023,P00044,S0035,143,34,9,168
INV00224,17-02-2026,P00044,S0074,121,34,2,153
INV00225,06-04-2026,P00044,S0090,93,5,10,88
INV00226,04-01-2025,P00045,S0019,123,12,7,128
INV00227,03-11-2024,P00045,S0083,108,40,6,142
INV00228,04-07-2025,P00045,S0083,142,19,6,155
INV00229,16-08-2025,P00046,S0017,59,16,5,70
INV00230,01-01-2026,P00046,S0060,26,11,6,31
INV00231,28-03-2023,P00046,S0088,75,9,2,82
INV00232,16-09-2023,P00047,S0003,83,17,5,95
INV00233,17-01-2025,P00047,S0030,69,7,2,74
INV00234,28-04-2025,P00047,S0038,127,32,7,152
INV00235,25-12-2022,P00047,S0053,76,6,2,80
INV00236,09-04-2024,P00047,S0060,37,28,8,57
INV00237,31-12-2025,P00047,S0068,88,40,6,122
INV00238,22-12-2024,P00047,S0082,35,11,5,41
INV00239,21-03-2025,P00048,S0038,95,13,4,104
INV00240,27-12-2025,P00048,S0062,120,30,5,145
INV00241,09-05-2025,P00048,S0070,146,5,7,144
INV00242,03-02-2025,P00048,S0097,150,7,5,152
INV00243,11-10-2025,P00049,S0019,85,11,6,90
INV00244,02-06-2026,P00049,S0066,135,5,3,137
INV00245,09-06-2026,P00049,S0082,51,31,6,76
INV00246,31-10-2024,P00049,S0088,112,10,3,119
INV00247,17-05-2025,P00050,S0035,91,5,9,87
INV00248,24-05-2023,P00050,S0040,74,10,2,82
INV00249,26-03-2022,P00050,S0045,27,37,1,63
INV00250,28-12-2024,P00050,S0064,34,36,1,69
INV00251,09-05-2026,P00050,S0094,95,40,5,130
INV00252,23-08-2022,P00051,S0042,77,12,1,88
INV00253,10-04-2024,P00051,S0057,41,19,10,50
INV00254,25-11-2024,P00051,S0058,46,32,4,74
INV00255,05-08-2025,P00052,S0001,67,20,1,86
INV00256,12-03-2022,P00052,S0033,139,22,3,158
INV00257,20-12-2025,P00052,S0039,24,30,1,53
INV00258,07-01-2020,P00052,S0060,78,19,9,88
INV00259,09-08-2020,P00052,S0100,136,8,6,138
INV00260,06-02-2026,P00052,S0100,138,30,8,160
INV00261,22-06-2026,P00053,S0005,68,26,8,86
INV00262,17-07-2025,P00053,S0016,37,28,7,58
INV00263,08-12-2024,P00053,S0027,47,2,6,43
INV00264,31-03-2026,P00053,S0031,97,14,3,108
INV00265,02-03-2021,P00053,S0053,150,13,6,157
INV00266,03-03-2023,P00053,S0056,79,16,1,94
INV00267,11-11-2022,P00053,S0067,133,6,2,137
INV00268,08-12-2025,P00053,S0068,117,22,1,138
INV00269,23-11-2023,P00054,S0086,39,5,3,41
INV00270,02-02-2026,P00055,S0004,149,1,3,147
INV00271,04-02-2025,P00055,S0030,145,28,4,169
INV00272,04-05-2025,P00055,S0031,116,6,8,114
INV00273,01-10-2025,P00055,S0034,80,27,4,103
INV00274,26-10-2024,P00055,S0094,53,24,6,71
INV00275,02-09-2023,P00056,S0028,99,6,4,101
INV00276,14-01-2022,P00056,S0051,125,8,5,128
INV00277,18-03-2026,P00056,S0052,119,14,2,131
INV00278,07-11-2023,P00056,S0059,92,22,6,108
INV00279,04-12-2023,P00056,S0072,78,40,7,111
INV00280,08-05-2024,P00056,S0081,111,10,8,113
INV00281,09-04-2025,P00056,S0081,113,13,6,120
INV00282,08-06-2025,P00057,S0013,134,20,5,149
INV00283,13-06-2025,P00057,S0016,99,20,1,118
INV00284,28-12-2024,P00057,S0075,56,36,10,82
INV00285,03-06-2023,P00058,S0036,60,32,3,89
INV00286,28-11-2022,P00058,S0064,75,3,4,74
INV00287,13-03-2026,P00059,S0023,24,29,4,49
INV00288,17-12-2025,P00059,S0027,135,3,6,132
INV00289,23-03-2026,P00059,S0066,73,22,10,85
INV00290,16-10-2025,P00059,S0082,150,0,10,140
INV00291,03-12-2024,P00059,S0090,118,32,7,143
INV00292,23-05-2026,P00060,S0013,90,12,5,97
INV00293,27-05-2025,P00060,S0018,83,20,1,102
INV00294,16-08-2025,P00060,S0022,31,23,10,44
INV00295,18-03-2026,P00060,S0040,33,29,8,54
INV00296,16-05-2024,P00060,S0041,58,26,8,76
INV00297,07-03-2022,P00060,S0071,118,13,6,125
INV00298,16-02-2023,P00060,S0088,130,15,9,136
INV00299,05-03-2024,P00061,S0039,141,1,4,138
INV00300,20-06-2026,P00061,S0061,48,15,1,62
INV00301,05-06-2025,P00061,S0069,112,3,7,108
INV00302,11-04-2026,P00061,S0071,147,32,7,172
INV00303,25-01-2022,P00061,S0093,72,37,1,108
INV00304,19-04-2025,P00062,S0005,113,35,7,141
INV00305,03-06-2026,P00062,S0029,132,33,2,163
INV00306,29-06-2026,P00062,S0065,55,20,8,67
INV00307,06-11-2024,P00062,S0091,103,20,1,122
INV00308,09-11-2020,P00062,S0099,43,36,10,69
INV00309,03-06-2023,P00063,S0033,25,12,3,34
INV00310,12-06-2026,P00063,S0033,34,9,7,36
INV00311,25-10-2023,P00063,S0060,93,12,8,97
INV00312,01-09-2025,P00063,S0073,149,26,8,167
INV00313,19-09-2022,P00064,S0021,129,16,2,143
INV00314,23-06-2024,P00064,S0022,84,36,10,110
INV00315,25-02-2026,P00064,S0025,137,17,1,153
INV00316,21-07-2023,P00064,S0071,159,32,9,182
INV00317,11-01-2021,P00064,S0074,71,10,2,79
INV00318,20-08-2021,P00064,S0077,97,21,1,117
INV00319,29-06-2025,P00064,S0079,71,16,2,85
INV00320,29-01-2023,P00065,S0009,138,0,1,137
INV00321,18-11-2022,P00065,S0036,100,38,10,128
INV00322,01-08-2024,P00065,S0099,73,13,9,77
INV00323,08-09-2023,P00066,S0003,58,24,4,78
INV00324,10-09-2025,P00066,S0070,95,6,1,100
INV00325,26-03-2025,P00066,S0090,53,34,2,85
INV00326,11-07-2024,P00067,S0064,39,17,9,47
INV00327,10-08-2024,P00067,S0097,73,35,4,104
INV00328,23-11-2025,P00067,S0097,104,10,6,108
INV00329,24-01-2026,P00068,S0077,137,6,8,135
INV00330,27-11-2024,P00068,S0080,80,1,4,77
INV00331,12-03-2023,P00068,S0085,121,13,10,124
INV00332,09-10-2023,P00068,S0085,124,14,8,130
INV00333,18-06-2024,P00068,S0085,130,23,7,146
INV00334,16-02-2023,P00068,S0088,67,4,4,67
INV00335,19-03-2025,P00068,S0093,89,28,5,112
INV00336,18-12-2022,P00069,S0005,65,38,5,98
INV00337,12-11-2025,P00069,S0008,44,25,3,66
INV00338,18-03-2026,P00069,S0009,47,13,10,50
INV00339,19-04-2025,P00069,S0021,154,19,4,169
INV00340,04-08-2025,P00069,S0084,74,32,2,104
INV00341,21-08-2024,P00070,S0010,112,35,9,138
INV00342,10-11-2024,P00070,S0034,153,32,9,176
INV00343,04-05-2025,P00070,S0072,80,36,4,112
INV00344,23-03-2023,P00071,S0061,83,13,7,89
INV00345,10-03-2023,P00071,S0066,88,32,1,119
INV00346,17-02-2022,P00072,S0045,126,2,2,126
INV00347,05-02-2026,P00072,S0049,117,16,4,129
INV00348,15-11-2022,P00072,S0065,131,4,5,130
INV00349,26-11-2023,P00072,S0076,50,37,9,78
INV00350,01-10-2025,P00072,S0083,128,38,10,156
INV00351,21-11-2025,P00072,S0091,61,3,6,58
INV00352,05-05-2023,P00073,S0029,50,21,6,65
INV00353,11-09-2025,P00073,S0029,65,20,8,77
INV00354,20-10-2021,P00073,S0030,113,30,4,139
INV00355,17-09-2022,P00073,S0031,44,31,3,72
INV00356,03-08-2023,P00073,S0047,77,16,4,89
INV00357,11-02-2026,P00073,S0059,79,40,9,110
INV00358,04-02-2024,P00073,S0072,130,3,4,129
INV00359,07-03-2026,P00074,S0010,76,33,2,107
INV00360,27-05-2025,P00074,S0011,81,15,4,92
INV00361,06-02-2024,P00074,S0059,73,15,6,82
INV00362,31-12-2025,P00074,S0060,119,17,1,135
INV00363,05-07-2022,P00074,S0072,75,23,10,88
INV00364,12-03-2026,P00074,S0073,128,4,3,129
INV00365,26-02-2025,P00074,S0077,29,27,5,51
INV00366,25-04-2026,P00074,S0080,122,12,10,124
INV00367,07-03-2026,P00074,S0086,88,12,7,93
INV00368,22-06-2026,P00074,S0090,137,38,3,172
INV00369,16-01-2026,P00074,S0098,86,17,9,94
INV00370,30-04-2024,P00075,S0011,134,7,10,131
INV00371,29-06-2026,P00075,S0016,98,36,7,127
INV00372,03-06-2026,P00075,S0032,40,14,7,47
INV00373,23-04-2020,P00075,S0037,127,27,2,152
INV00374,06-11-2023,P00075,S0077,73,37,4,106
INV00375,11-12-2023,P00075,S0082,156,14,10,160
INV00376,22-08-2023,P00075,S0100,89,27,4,112
INV00377,25-11-2025,P00076,S0009,42,38,10,70
INV00378,12-07-2025,P00076,S0022,63,7,10,60
INV00379,01-05-2025,P00076,S0046,75,26,9,92
INV00380,02-10-2024,P00076,S0054,149,27,2,174
INV00381,02-06-2023,P00076,S0058,52,21,1,72
INV00382,21-08-2025,P00076,S0065,81,34,2,113
INV00383,23-01-2021,P00076,S0100,135,32,6,161
INV00384,13-11-2025,P00077,S0026,78,29,2,105
INV00385,31-10-2025,P00077,S0028,149,6,7,148
INV00386,17-01-2026,P00077,S0030,80,21,6,95
INV00387,01-10-2024,P00077,S0033,61,3,6,58
INV00388,16-03-2023,P00077,S0096,38,31,4,65
INV00389,12-05-2023,P00078,S0055,82,27,2,107
INV00390,09-12-2022,P00078,S0072,43,24,9,58
INV00391,07-11-2025,P00078,S0075,67,7,1,73
INV00392,26-05-2024,P00078,S0083,76,24,2,98
INV00393,09-10-2024,P00078,S0096,48,40,10,78
INV00394,17-06-2021,P00079,S0008,157,15,9,163
INV00395,21-03-2022,P00079,S0022,150,19,8,161
INV00396,29-01-2025,P00079,S0036,151,9,5,155
INV00397,17-10-2020,P00079,S0047,65,10,8,67
INV00398,29-05-2024,P00079,S0052,86,39,7,118
INV00399,02-06-2026,P00079,S0064,129,36,7,158
INV00400,13-07-2024,P00080,S0020,151,17,9,159
INV00401,03-02-2026,P00080,S0031,153,38,4,187
INV00402,25-06-2023,P00080,S0041,117,39,4,152
INV00403,02-01-2025,P00080,S0100,45,36,7,74
INV00404,09-10-2020,P00081,S0003,119,11,5,125
INV00405,05-07-2025,P00081,S0031,143,6,3,146
INV00406,11-06-2023,P00081,S0035,133,36,10,159
INV00407,03-10-2021,P00081,S0036,133,18,6,145
INV00408,01-02-2024,P00081,S0075,61,7,5,63
INV00409,04-03-2023,P00081,S0078,36,19,3,52
INV00410,16-08-2025,P00081,S0100,146,33,3,176
INV00411,29-12-2024,P00082,S0003,110,0,5,105
INV00412,19-12-2021,P00082,S0017,87,19,7,99
INV00413,16-04-2025,P00082,S0045,47,26,6,67
INV00414,27-12-2021,P00082,S0052,30,23,9,44
INV00415,30-08-2023,P00082,S0063,48,31,4,75
INV00416,08-11-2025,P00082,S0096,72,2,3,71
INV00417,28-03-2026,P00083,S0031,73,30,4,99
INV00418,11-05-2024,P00083,S0076,38,11,8,41
INV00419,02-05-2025,P00083,S0079,73,32,6,99
INV00420,10-02-2026,P00083,S0084,141,30,4,167
INV00421,21-05-2026,P00083,S0099,40,3,1,42
INV00422,15-02-2025,P00084,S0035,107,23,6,124
INV00423,08-07-2020,P00084,S0038,121,29,5,145
INV00424,05-01-2024,P00084,S0056,71,32,6,97
INV00425,20-09-2025,P00084,S0068,54,19,10,63
INV00426,20-01-2023,P00085,S0010,154,2,6,150
INV00427,02-01-2026,P00085,S0059,85,16,4,97
INV00428,22-07-2022,P00085,S0060,58,29,9,78
INV00429,12-01-2025,P00085,S0082,37,31,7,61
INV00430,12-09-2025,P00086,S0001,79,29,4,104
INV00431,18-04-2025,P00086,S0022,49,10,4,55
INV00432,26-01-2026,P00086,S0057,25,3,2,26
INV00433,09-10-2020,P00086,S0081,81,30,4,107
INV00434,18-02-2024,P00086,S0091,135,13,9,139
INV00435,09-02-2023,P00087,S0025,122,3,7,118
INV00436,24-02-2026,P00087,S0028,144,6,10,140
INV00437,21-08-2025,P00087,S0046,83,26,9,100
INV00438,15-08-2025,P00087,S0053,153,37,10,180
INV00439,16-07-2025,P00087,S0056,144,38,10,172
INV00440,24-05-2024,P00087,S0079,135,4,7,132
INV00441,28-06-2025,P00087,S0083,114,13,5,122
INV00442,07-12-2023,P00087,S0089,92,18,8,102
INV00443,21-06-2026,P00088,S0035,66,22,3,85
INV00444,01-10-2021,P00088,S0060,66,20,7,79
INV00445,01-11-2023,P00089,S0016,133,16,10,139
INV00446,10-04-2026,P00089,S0029,54,32,7,79
INV00447,05-04-2026,P00089,S0050,155,21,8,168
INV00448,18-12-2025,P00089,S0064,58,36,1,93
INV00449,30-08-2025,P00089,S0087,79,18,2,95
INV00450,30-07-2025,P00089,S0090,146,0,9,137
INV00451,15-12-2025,P00090,S0001,138,29,3,164
INV00452,05-06-2026,P00090,S0055,47,8,1,54
INV00453,31-01-2023,P00090,S0077,32,12,4,40
INV00454,02-02-2026,P00090,S0081,54,3,9,48
INV00455,02-03-2023,P00090,S0092,113,11,3,121
INV00456,01-07-2022,P00091,S0035,29,24,9,44
INV00457,20-05-2021,P00091,S0038,89,39,7,121
INV00458,26-02-2025,P00091,S0046,120,7,2,125
INV00459,24-06-2026,P00091,S0048,145,32,1,176
INV00460,28-08-2024,P00091,S0061,43,35,9,69
INV00461,20-09-2020,P00092,S0029,96,29,4,121
INV00462,02-09-2020,P00092,S0047,26,2,6,22
INV00463,12-09-2020,P00092,S0053,52,37,2,87
INV00464,12-09-2024,P00092,S0070,51,27,2,76
INV00465,27-03-2022,P00092,S0079,76,13,2,87
INV00466,01-04-2026,P00092,S0080,130,14,8,136
INV00467,22-01-2025,P00092,S0085,23,7,2,28
INV00468,14-05-2020,P00093,S0021,112,8,4,116
INV00469,07-07-2022,P00093,S0031,104,18,7,115
INV00470,15-09-2024,P00093,S0080,99,10,6,103
INV00471,30-06-2025,P00093,S0096,144,35,1,178
INV00472,05-03-2026,P00094,S0003,146,30,2,174
INV00473,30-11-2021,P00094,S0008,126,22,10,138
INV00474,01-11-2022,P00094,S0023,111,13,6,118
INV00475,24-04-2026,P00094,S0048,146,28,3,171
INV00476,15-05-2026,P00094,S0055,50,19,6,63
INV00477,06-02-2022,P00094,S0064,135,2,5,132
INV00478,06-03-2022,P00095,S0019,72,24,3,93
INV00479,14-08-2024,P00095,S0019,93,15,3,105
INV00480,01-12-2025,P00095,S0031,42,21,10,53
INV00481,31-03-2026,P00095,S0044,29,30,8,51
INV00482,04-07-2024,P00095,S0045,100,19,1,118
INV00483,16-05-2023,P00095,S0066,131,25,9,147
INV00484,29-07-2025,P00095,S0067,121,2,4,119
INV00485,26-01-2024,P00095,S0070,90,3,9,84
INV00486,14-07-2025,P00095,S0095,51,13,5,59
INV00487,21-10-2025,P00095,S0097,138,17,9,146
INV00488,12-04-2026,P00096,S0007,112,13,4,121
INV00489,24-02-2024,P00096,S0008,127,0,6,121
INV00490,30-07-2022,P00097,S0013,108,33,8,133
INV00491,02-09-2025,P00097,S0042,35,8,1,42
INV00492,04-04-2026,P00097,S0043,65,11,10,66
INV00493,26-12-2021,P00097,S0046,74,17,2,89
INV00494,29-08-2025,P00097,S0047,76,16,2,90
INV00495,04-05-2026,P00097,S0050,84,23,5,102
INV00496,12-05-2026,P00097,S0056,150,2,1,151
